,symbol,date,open,high,low,close,adj_close,volume
0,ADA-USD,2022-01-01,1.31013,1.376975,1.309787,1.376975,1.376975,851279685
1,ADA-USD,2022-01-02,1.377017,1.388755,1.346515,1.377584,1.377584,881893010
2,ADA-USD,2022-01-03,1.377599,1.377599,1.3158,1.321637,1.321637,956659954
3,ADA-USD,2022-01-04,1.321508,1.349682,1.299482,1.311658,1.311658,1014646349
4,ADA-USD,2022-01-05,1.311944,1.350875,1.202679,1.236002,1.236002,1416139355
5,ADA-USD,2022-01-06,1.235209,1.294576,1.193416,1.279782,1.279782,1559075484
6,ADA-USD,2022-01-07,1.279917,1.282408,1.193237,1.211547,1.211547,1751707653
7,ADA-USD,2022-01-08,1.211468,1.25267,1.138116,1.187512,1.187512,1499054949
8,ADA-USD,2022-01-09,1.187693,1.204036,1.153479,1.17386,1.17386,1088569809
9,ADA-USD,2022-01-10,1.173786,1.178859,1.080153,1.128052,1.128052,1481621292
10,ADA-USD,2022-01-11,1.127857,1.193615,1.125648,1.18511,1.18511,1089929557
11,ADA-USD,2022-01-12,1.185551,1.306346,1.185551,1.304535,1.304535,1651269250
12,ADA-USD,2022-01-13,1.304656,1.350995,1.233161,1.233161,1.233161,2022506483
13,ADA-USD,2022-01-14,1.23337,1.306503,1.227105,1.290926,1.290926,1855980787
14,ADA-USD,2022-01-15,1.291089,1.315587,1.257258,1.296263,1.296263,967735764
15,ADA-USD,2022-01-16,1.295933,1.420641,1.291159,1.407251,1.407251,2436680646
16,ADA-USD,2022-01-17,1.40821,1.594131,1.390763,1.594131,1.594131,5285117130
17,ADA-USD,2022-01-18,1.59648,1.631298,1.418237,1.465541,1.465541,4287066351
18,ADA-USD,2022-01-19,1.464946,1.531111,1.331478,1.341757,1.341757,3304139176
19,ADA-USD,2022-01-20,1.341654,1.423338,1.257876,1.258055,1.258055,1686210420
20,ADA-USD,2022-01-21,1.258803,1.279778,1.109166,1.123233,1.123233,3009627794
21,ADA-USD,2022-01-22,1.123079,1.152195,0.933397,1.066716,1.066716,3930474859
22,ADA-USD,2022-01-23,1.067661,1.164873,1.056932,1.122371,1.122371,2362627205
23,ADA-USD,2022-01-24,1.122782,1.124338,0.959124,1.066598,1.066598,3237316963
24,ADA-USD,2022-01-25,1.066519,1.072024,0.998212,1.043574,1.043574,1766326155
25,ADA-USD,2022-01-26,1.04362,1.149648,1.026486,1.079047,1.079047,2437592239
26,ADA-USD,2022-01-27,1.078735,1.078735,1.009166,1.043533,1.043533,1519972359
27,ADA-USD,2022-01-28,1.043234,1.058343,1.014096,1.050606,1.050606,1206550586
28,ADA-USD,2022-01-29,1.050492,1.080614,1.041647,1.05957,1.05957,913122499
29,ADA-USD,2022-01-30,1.059748,1.075346,1.028418,1.037473,1.037473,748084610
30,ADA-USD,2022-01-31,1.037615,1.057604,1.012046,1.052303,1.052303,925666321
31,ADA-USD,2022-02-01,1.052236,1.092317,1.037886,1.088624,1.088624,1130552843
32,ADA-USD,2022-02-02,1.090309,1.10024,1.02775,1.028906,1.028906,1086043481
33,ADA-USD,2022-02-03,1.028688,1.057225,1.019261,1.056444,1.056444,873675008
34,ADA-USD,2022-02-04,1.056243,1.135624,1.047297,1.135624,1.135624,1178757518
35,ADA-USD,2022-02-05,1.136061,1.172885,1.102618,1.127345,1.127345,1363912644
36,ADA-USD,2022-02-06,1.127235,1.147803,1.103168,1.144547,1.144547,911521818
37,ADA-USD,2022-02-07,1.144356,1.206854,1.128264,1.197307,1.197307,2107219347
38,ADA-USD,2022-02-08,1.19765,1.257816,1.135913,1.17872,1.17872,2267265855
39,ADA-USD,2022-02-09,1.177958,1.212157,1.15475,1.19481,1.19481,1239455609
40,ADA-USD,2022-02-10,1.194636,1.218667,1.149182,1.152478,1.152478,1810255178
41,ADA-USD,2022-02-11,1.152571,1.162573,1.072568,1.080347,1.080347,1395763170
42,ADA-USD,2022-02-12,1.080511,1.091407,1.034717,1.058199,1.058199,1401190670
43,ADA-USD,2022-02-13,1.058008,1.070944,1.035629,1.045819,1.045819,1066206015
44,ADA-USD,2022-02-14,1.045469,1.052781,1.021529,1.050267,1.050267,1261583495
45,ADA-USD,2022-02-15,1.050218,1.113366,1.050018,1.107586,1.107586,1370174980
46,ADA-USD,2022-02-16,1.107631,1.110541,1.069289,1.084981,1.084981,1028924852
47,ADA-USD,2022-02-17,1.084318,1.091512,1.012222,1.019895,1.019895,1093325576
48,ADA-USD,2022-02-18,1.020223,1.041311,0.989473,0.997113,0.997113,1288743412
49,ADA-USD,2022-02-19,0.997005,1.017854,0.977514,0.997703,0.997703,1104597763
50,ADA-USD,2022-02-20,0.997629,0.997629,0.923295,0.932902,0.932902,1429017666
51,ADA-USD,2022-02-21,0.932452,0.986247,0.857714,0.858236,0.858236,2072270994
52,ADA-USD,2022-02-22,0.85813,0.893756,0.81999,0.889017,0.889017,2058499639
53,ADA-USD,2022-02-23,0.888989,0.955431,0.869169,0.869169,0.869169,1824386011
54,ADA-USD,2022-02-24,0.868515,0.882342,0.75281,0.853425,0.853425,3629367685
55,ADA-USD,2022-02-25,0.853572,0.906541,0.829244,0.898027,0.898027,1652894219
56,ADA-USD,2022-02-26,0.897996,0.928296,0.885401,0.887918,0.887918,1099934921
57,ADA-USD,2022-02-27,0.887788,0.912676,0.840146,0.858335,0.858335,1278510571
58,ADA-USD,2022-02-28,0.85787,0.967613,0.84504,0.959828,0.959828,1779202386
59,ADA-USD,2022-03-01,0.959886,1.005403,0.944935,0.962346,0.962346,1778795527
60,ADA-USD,2022-03-02,0.962425,0.973629,0.929062,0.938662,0.938662,1262681262
61,ADA-USD,2022-03-03,0.938722,0.944079,0.886073,0.902659,0.902659,986233549
62,ADA-USD,2022-03-04,0.902793,0.90305,0.830861,0.842889,0.842889,1115108721
63,ADA-USD,2022-03-05,0.843175,0.88094,0.824839,0.865672,0.865672,734896311
64,ADA-USD,2022-03-06,0.865688,0.870498,0.823004,0.823752,0.823752,670024869
65,ADA-USD,2022-03-07,0.823738,0.845476,0.783291,0.797379,0.797379,1040234323
66,ADA-USD,2022-03-08,0.797174,0.819148,0.790318,0.80125,0.80125,955952004
